=========================================
SLURM_JOB_ID = 60388
SLURM_JOB_NODELIST = node20-78
SLURM_CPUS_ON_NODE = 4
SLURM_JOB_PARTITION = RT
SLURM_TASK_PID = 729891
==========================================
# command: ./a.out -T 5.0 -s 12345 
# ISING simulation, NVT Metropolis Monte Carlo
# L = 20, T = 5.000, nCycles 1000000, fSamp 1000, Seed 12345
0 1.30000e-01 -2.70000e-01
1000 -4.00000e-02 -4.00000e-01
2000 1.60000e-01 -5.10000e-01
3000 1.50000e-02 -3.90000e-01
4000 2.50000e-01 -4.20000e-01
5000 3.50000e-02 -4.40000e-01
6000 -3.50000e-02 -4.40000e-01
7000 1.20000e-01 -4.50000e-01
8000 -1.10000e-01 -2.80000e-01
9000 -1.85000e-01 -3.90000e-01
10000 7.50000e-02 -4.70000e-01
11000 -7.00000e-02 -3.10000e-01
12000 2.50000e-02 -4.60000e-01
13000 5.50000e-02 -3.70000e-01
14000 -1.45000e-01 -4.10000e-01
15000 -5.00000e-03 -3.10000e-01
16000 0.00000e+00 -4.00000e-01
17000 3.50000e-02 -4.60000e-01
18000 0.00000e+00 -4.20000e-01
19000 -1.30000e-01 -3.80000e-01
20000 5.50000e-02 -3.10000e-01
21000 -5.00000e-02 -5.80000e-01
22000 -8.50000e-02 -5.00000e-01
23000 -8.50000e-02 -4.20000e-01
24000 -1.30000e-01 -5.10000e-01
25000 5.50000e-02 -4.10000e-01
26000 0.00000e+00 -4.80000e-01
27000 6.00000e-02 -4.60000e-01
28000 -5.00000e-03 -3.40000e-01
29000 -1.00000e-01 -4.80000e-01
30000 2.10000e-01 -4.90000e-01
31000 7.00000e-02 -4.40000e-01
32000 2.50000e-02 -4.50000e-01
33000 5.00000e-03 -6.30000e-01
34000 5.50000e-02 -3.00000e-01
35000 1.00000e-01 -4.90000e-01
36000 9.00000e-02 -4.50000e-01
37000 -1.30000e-01 -4.60000e-01
38000 -9.00000e-02 -4.90000e-01
39000 7.00000e-02 -4.70000e-01
40000 8.50000e-02 -4.20000e-01
41000 -5.50000e-02 -3.80000e-01
42000 -1.50000e-02 -3.90000e-01
43000 0.00000e+00 -3.60000e-01
44000 5.50000e-02 -3.70000e-01
45000 -3.00000e-02 -3.60000e-01
46000 -1.00000e-02 -3.60000e-01
47000 7.50000e-02 -3.90000e-01
48000 1.35000e-01 -4.00000e-01
49000 8.50000e-02 -3.40000e-01
50000 2.50000e-02 -5.30000e-01
51000 -1.00000e-02 -4.20000e-01
52000 5.50000e-02 -5.60000e-01
53000 1.00000e-01 -5.20000e-01
54000 6.00000e-02 -3.80000e-01
55000 5.00000e-02 -3.60000e-01
56000 5.50000e-02 -3.90000e-01
57000 -5.00000e-02 -4.40000e-01
58000 5.00000e-03 -3.90000e-01
59000 -5.50000e-02 -4.40000e-01
60000 -2.00000e-02 -3.70000e-01
61000 -6.00000e-02 -4.70000e-01
62000 4.00000e-02 -5.50000e-01
63000 1.70000e-01 -3.10000e-01
64000 -1.50000e-02 -4.20000e-01
65000 -3.50000e-02 -4.40000e-01
66000 1.50000e-02 -3.20000e-01
67000 2.50000e-02 -3.70000e-01
68000 -4.50000e-02 -3.80000e-01
69000 -3.00000e-02 -3.60000e-01
70000 2.50000e-02 -3.60000e-01
71000 -5.00000e-02 -5.30000e-01
72000 -1.00000e-01 -3.90000e-01
73000 2.00000e-02 -3.90000e-01
74000 1.25000e-01 -5.40000e-01
75000 5.00000e-02 -5.00000e-01
76000 -2.20000e-01 -4.60000e-01
77000 -5.00000e-03 -3.90000e-01
78000 -1.10000e-01 -5.60000e-01
79000 -2.50000e-02 -4.00000e-01
80000 6.00000e-02 -3.40000e-01
81000 6.00000e-02 -5.10000e-01
82000 -1.35000e-01 -3.70000e-01
83000 6.50000e-02 -4.90000e-01
84000 -7.00000e-02 -4.50000e-01
85000 -5.00000e-03 -5.00000e-01
86000 -5.00000e-03 -4.60000e-01
87000 4.00000e-02 -4.70000e-01
88000 2.00000e-02 -4.20000e-01
89000 5.00000e-03 -3.60000e-01
90000 -5.50000e-02 -4.50000e-01
91000 3.50000e-02 -3.00000e-01
92000 1.90000e-01 -3.30000e-01
93000 -7.50000e-02 -4.20000e-01
94000 -7.50000e-02 -4.00000e-01
95000 -3.50000e-02 -4.40000e-01
96000 1.50000e-02 -3.10000e-01
97000 -1.30000e-01 -4.90000e-01
98000 -5.50000e-02 -4.80000e-01
99000 7.00000e-02 -3.10000e-01
100000 -6.00000e-02 -3.10000e-01
101000 -1.15000e-01 -4.40000e-01
102000 -1.95000e-01 -5.50000e-01
103000 -6.00000e-02 -4.30000e-01
104000 -4.50000e-02 -3.90000e-01
105000 -5.50000e-02 -3.30000e-01
106000 1.05000e-01 -3.70000e-01
107000 2.00000e-02 -4.50000e-01
108000 -3.00000e-02 -4.40000e-01
109000 1.00000e-01 -4.50000e-01
110000 -7.00000e-02 -4.20000e-01
111000 1.25000e-01 -4.40000e-01
112000 8.50000e-02 -4.90000e-01
113000 2.00000e-02 -5.50000e-01
114000 -9.00000e-02 -4.50000e-01
115000 7.50000e-02 -4.40000e-01
116000 -7.00000e-02 -6.30000e-01
117000 1.00000e-02 -3.40000e-01
118000 5.50000e-02 -4.40000e-01
119000 -1.25000e-01 -5.70000e-01
120000 -4.00000e-02 -4.70000e-01
121000 -1.25000e-01 -4.10000e-01
122000 -4.00000e-02 -3.40000e-01
123000 -1.15000e-01 -5.10000e-01
124000 -8.50000e-02 -4.30000e-01
125000 6.00000e-02 -3.40000e-01
126000 4.00000e-02 -4.80000e-01
127000 1.30000e-01 -3.10000e-01
128000 1.40000e-01 -5.20000e-01
129000 1.70000e-01 -5.40000e-01
130000 1.05000e-01 -4.50000e-01
131000 7.00000e-02 -4.30000e-01
132000 3.00000e-02 -4.70000e-01
133000 2.00000e-02 -4.60000e-01
134000 -1.25000e-01 -5.40000e-01
135000 -1.00000e-02 -3.40000e-01
136000 -7.50000e-02 -4.50000e-01
137000 2.50000e-02 -4.00000e-01
138000 0.00000e+00 -5.00000e-01
139000 8.50000e-02 -4.00000e-01
140000 1.10000e-01 -4.60000e-01
141000 -9.50000e-02 -3.80000e-01
142000 1.65000e-01 -5.20000e-01
143000 5.00000e-03 -3.90000e-01
144000 -5.00000e-03 -4.00000e-01
145000 -5.00000e-02 -4.00000e-01
146000 4.00000e-02 -3.30000e-01
147000 4.50000e-02 -3.20000e-01
148000 -1.00000e-01 -4.80000e-01
149000 2.50000e-02 -4.70000e-01
150000 -3.50000e-02 -5.00000e-01
151000 -6.50000e-02 -4.10000e-01
152000 1.15000e-01 -3.10000e-01
153000 1.10000e-01 -3.70000e-01
154000 2.00000e-02 -3.80000e-01
155000 -1.40000e-01 -3.20000e-01
156000 -2.50000e-02 -4.50000e-01
157000 -1.50000e-02 -4.70000e-01
158000 5.00000e-03 -4.80000e-01
159000 3.50000e-02 -4.90000e-01
160000 -8.00000e-02 -4.80000e-01
161000 -5.00000e-03 -3.40000e-01
162000 -9.00000e-02 -4.70000e-01
163000 7.50000e-02 -4.90000e-01
164000 5.00000e-02 -5.30000e-01
165000 -4.50000e-02 -5.10000e-01
166000 5.00000e-03 -3.00000e-01
167000 -5.00000e-03 -3.60000e-01
168000 0.00000e+00 -3.40000e-01
169000 -5.00000e-03 -3.80000e-01
170000 6.00000e-02 -5.10000e-01
171000 -1.25000e-01 -4.30000e-01
172000 -1.70000e-01 -4.10000e-01
173000 -4.50000e-02 -3.30000e-01
174000 1.10000e-01 -4.10000e-01
175000 -4.00000e-02 -2.60000e-01
176000 2.50000e-02 -5.00000e-01
177000 1.35000e-01 -6.80000e-01
178000 -3.50000e-02 -3.80000e-01
179000 0.00000e+00 -3.20000e-01
180000 2.50000e-02 -5.20000e-01
181000 -6.50000e-02 -3.30000e-01
182000 3.50000e-02 -4.80000e-01
183000 3.50000e-02 -4.40000e-01
184000 1.00000e-02 -4.80000e-01
185000 3.00000e-02 -3.30000e-01
186000 7.50000e-02 -4.80000e-01
187000 -1.00000e-02 -4.20000e-01
188000 -1.05000e-01 -4.30000e-01
189000 -2.50000e-02 -4.50000e-01
190000 -1.50000e-02 -3.70000e-01
191000 9.00000e-02 -5.40000e-01
192000 5.00000e-03 -4.50000e-01
193000 -1.25000e-01 -3.00000e-01
194000 -8.50000e-02 -4.50000e-01
195000 -1.50000e-02 -4.50000e-01
196000 -1.35000e-01 -4.30000e-01
197000 -4.50000e-02 -4.80000e-01
198000 -1.10000e-01 -3.90000e-01
199000 -3.00000e-02 -4.40000e-01
200000 -7.50000e-02 -4.60000e-01
201000 -3.00000e-02 -4.30000e-01
202000 5.00000e-03 -5.70000e-01
203000 5.50000e-02 -4.00000e-01
204000 -3.50000e-02 -3.40000e-01
205000 5.00000e-03 -5.10000e-01
206000 -7.50000e-02 -4.90000e-01
207000 1.50000e-01 -3.90000e-01
208000 -3.50000e-02 -3.30000e-01
209000 -6.50000e-02 -3.10000e-01
210000 8.50000e-02 -5.20000e-01
211000 9.00000e-02 -4.10000e-01
212000 -5.00000e-02 -4.60000e-01
213000 -3.50000e-02 -2.90000e-01
214000 1.00000e-02 -3.00000e-01
215000 2.50000e-02 -4.40000e-01
216000 0.00000e+00 -5.00000e-01
217000 -5.00000e-02 -5.90000e-01
218000 -5.00000e-03 -4.00000e-01
219000 -1.65000e-01 -4.90000e-01
220000 -1.40000e-01 -4.40000e-01
221000 0.00000e+00 -4.60000e-01
222000 4.50000e-02 -4.70000e-01
223000 1.00000e-01 -4.80000e-01
224000 0.00000e+00 -5.00000e-01
225000 2.50000e-02 -4.10000e-01
226000 -2.50000e-02 -4.40000e-01
227000 4.50000e-02 -3.80000e-01
228000 4.50000e-02 -4.60000e-01
229000 -1.50000e-02 -4.70000e-01
230000 -1.75000e-01 -3.40000e-01
231000 1.60000e-01 -5.10000e-01
232000 -1.90000e-01 -5.50000e-01
233000 -1.60000e-01 -3.10000e-01
234000 -2.50000e-02 -4.50000e-01
235000 1.35000e-01 -4.60000e-01
236000 2.50000e-02 -3.80000e-01
237000 9.50000e-02 -3.70000e-01
238000 0.00000e+00 -3.90000e-01
239000 -3.50000e-02 -4.60000e-01
240000 -7.50000e-02 -5.00000e-01
241000 -8.00000e-02 -5.70000e-01
242000 7.50000e-02 -5.00000e-01
243000 1.00000e-02 -4.50000e-01
244000 -3.50000e-02 -4.40000e-01
245000 -1.45000e-01 -4.70000e-01
246000 -4.00000e-02 -4.10000e-01
247000 4.50000e-02 -4.30000e-01
248000 -1.25000e-01 -3.70000e-01
249000 -3.50000e-02 -3.70000e-01
250000 -1.00000e-02 -3.10000e-01
251000 1.10000e-01 -4.80000e-01
252000 -1.00000e-02 -3.80000e-01
253000 -1.50000e-02 -3.90000e-01
254000 -2.00000e-02 -3.50000e-01
255000 -1.20000e-01 -5.10000e-01
256000 -4.00000e-02 -5.10000e-01
257000 -3.00000e-02 -4.80000e-01
258000 -2.40000e-01 -4.90000e-01
259000 -6.50000e-02 -4.40000e-01
260000 -2.00000e-02 -3.80000e-01
261000 1.45000e-01 -2.90000e-01
262000 2.10000e-01 -4.50000e-01
263000 1.50000e-02 -5.30000e-01
264000 2.55000e-01 -5.60000e-01
265000 8.00000e-02 -5.00000e-01
266000 4.00000e-02 -4.90000e-01
267000 -1.70000e-01 -6.20000e-01
268000 1.25000e-01 -3.90000e-01
